设备型号,安装时间,厂家,损坏时间,设计寿命,损坏时的天气,安装地点,运维班,损坏性质
CPU板件,2020-05-22,南瑞科技,2029-03-29,9,雷阵雨,somewhere,维修班3,0
电源DC220,2018-05-21,南瑞继保,2022-01-26,4,雷阵雨,somewhere,维修班1,0
显示屏,2020-08-31,深圳南瑞,2033-04-01,13,大雨,somewhere,维修班2,0
显示屏,2012-07-14,许继电气,2024-05-14,12,雷阵雨,somewhere,维修班2,0
电源DC220,2018-11-23,南瑞科技,2024-06-30,6,雷阵雨,somewhere,维修班2,0
CPU板件,2017-12-04,深圳南瑞,2025-10-03,8,大雨,somewhere,维修班1,0
显示屏,2019-09-15,南瑞科技,2031-04-12,12,小雨,somewhere,维修班4,0
CPU板件,2015-08-25,国电南自,2026-03-22,11,小雨,somewhere,维修班1,0
显示屏,2017-11-24,上海惠安,2020-08-23,3,冰雹,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2016-01-20,国电南自,2023-09-13,8,大雨,somewhere,维修班2,0
显示屏,2019-07-08,国电南自,2027-05-24,8,晴,somewhere,维修班3,0
CPU板件,2011-12-19,深圳南瑞,2021-08-14,10,阴,somewhere,维修班4,0
显示屏,2010-01-21,南瑞继保,2021-11-10,12,晴,somewhere,维修班4,0
电源DC220,2014-01-25,许继电气,2022-12-10,9,阴,somewhere,维修班3,0
显示屏,2017-03-13,深圳南瑞,2029-01-20,12,雷阵雨,somewhere,维修班3,0
显示屏,2013-07-27,国电南自,2025-03-23,12,晴,somewhere,维修班1,0
CPU板件,2017-08-31,深圳南瑞,2031-03-15,14,雷阵雨,somewhere,维修班2,0
电源DC220,2010-08-16,国电南自,2023-05-13,13,小雨,somewhere,维修班3,0
CPU板件,2016-04-30,深圳南瑞,2027-10-28,12,小雨,somewhere,维修班2,0
CPU板件,2012-12-08,南瑞科技,2018-09-26,6,阴,somewhere,维修班4,电流互感器二次回路故障
CPU板件,2015-12-07,许继电气,2029-09-09,14,阴,somewhere,维修班2,0
电源DC220,2013-02-11,上海惠安,2018-08-12,6,小雨,somewhere,维修班3,保护装置故障
CPU板件,2013-03-21,南瑞继保,2017-11-22,5,阴,somewhere,维修班1,电压互感器二次回路故障
显示屏,2018-10-31,深圳南瑞,2032-06-11,14,阴,somewhere,维修班3,0
CPU板件,2020-11-30,南瑞继保,2031-05-16,11,大雨,somewhere,维修班2,0
电源DC220,2017-10-13,上海惠安,2029-01-01,12,大雨,somewhere,维修班3,0
电源DC220,2018-11-28,国电南自,2027-08-13,9,冰雹,somewhere,维修班4,0
电源DC220,2013-12-03,上海惠安,2019-09-13,6,雷阵雨,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2014-01-11,国电南自,2025-11-14,12,大雨,somewhere,维修班3,0
电源DC220,2017-01-20,深圳南瑞,2026-09-16,10,小雨,somewhere,维修班1,0
CPU板件,2017-07-28,上海惠安,2030-05-08,13,小雨,somewhere,维修班3,0
电源DC220,2020-07-16,南瑞科技,2033-03-29,13,小雨,somewhere,维修班1,0
电源DC220,2015-12-04,上海惠安,2022-08-06,7,雷阵雨,somewhere,维修班4,0
电源DC220,2015-03-17,上海惠安,2028-11-07,14,阴,somewhere,维修班3,0
显示屏,2016-02-06,南瑞科技,2020-12-06,5,雷阵雨,somewhere,维修班4,电流互感器二次回路故障
电源DC220,2015-05-28,深圳南瑞,2028-12-10,14,大雨,somewhere,维修班3,0
电源DC220,2016-12-28,国电南自,2025-09-24,9,大雨,somewhere,维修班1,0
CPU板件,2013-11-30,南瑞科技,2020-07-18,7,大雨,somewhere,维修班4,开关设备故障
电源DC220,2020-10-31,深圳南瑞,2030-07-30,10,雷阵雨,somewhere,维修班2,0
显示屏,2017-07-14,南瑞继保,2021-05-15,4,晴,somewhere,维修班1,开关设备故障
显示屏,2012-06-24,上海惠安,2019-03-07,7,冰雹,somewhere,维修班1,继电器触点故障
CPU板件,2016-09-22,深圳南瑞,2026-02-23,10,阴,somewhere,维修班4,0
CPU板件,2012-07-24,深圳南瑞,2020-04-06,8,阴,somewhere,维修班2,电流互感器二次回路故障
显示屏,2017-03-27,深圳南瑞,2022-10-29,6,雷阵雨,somewhere,维修班2,0
电源DC220,2014-11-29,许继电气,2019-08-14,5,大雨,somewhere,维修班3,电流互感器二次回路故障
显示屏,2012-07-23,南瑞科技,2022-05-02,10,小雨,somewhere,维修班3,0
电源DC220,2012-12-08,许继电气,2022-10-19,10,冰雹,somewhere,维修班4,0
电源DC220,2013-03-27,南瑞继保,2016-02-01,3,冰雹,somewhere,维修班3,开关设备故障
电源DC220,2012-12-04,南瑞继保,2022-08-09,10,阴,somewhere,维修班1,0
电源DC220,2017-02-27,深圳南瑞,2019-12-03,3,晴,somewhere,维修班3,直流接地
显示屏,2020-09-24,许继电气,2032-03-27,12,晴,somewhere,维修班1,0
显示屏,2018-11-28,国电南自,2031-06-16,13,晴,somewhere,维修班3,0
显示屏,2015-06-05,南瑞科技,2029-04-20,14,雷阵雨,somewhere,维修班1,0
显示屏,2020-11-30,深圳南瑞,2032-08-10,12,小雨,somewhere,维修班4,0
显示屏,2018-02-09,上海惠安,2031-10-01,14,冰雹,somewhere,维修班2,0
CPU板件,2014-05-23,国电南自,2022-01-30,8,小雨,somewhere,维修班1,0
电源DC220,2012-11-09,南瑞继保,2016-09-14,4,雷阵雨,somewhere,维修班4,保护装置故障
电源DC220,2020-09-05,南瑞继保,2030-07-25,10,冰雹,somewhere,维修班1,0
显示屏,2019-03-15,南瑞继保,2024-12-24,6,晴,somewhere,维修班1,0
CPU板件,2010-03-09,南瑞继保,2024-11-09,15,晴,somewhere,维修班3,0
显示屏,2012-08-21,南瑞继保,2015-03-08,3,大雨,somewhere,维修班2,继电器触点故障
CPU板件,2012-11-26,国电南自,2017-04-11,5,小雨,somewhere,维修班2,直流接地
CPU板件,2020-10-09,南瑞继保,2030-07-05,10,大雨,somewhere,维修班2,0
电源DC220,2020-06-04,南瑞继保,2034-02-20,14,阴,somewhere,维修班4,0
CPU板件,2013-10-30,深圳南瑞,2024-07-25,11,晴,somewhere,维修班3,0
显示屏,2014-09-13,深圳南瑞,2025-04-09,11,大雨,somewhere,维修班3,0
显示屏,2012-01-15,许继电气,2025-11-29,15,阴,somewhere,维修班3,0
显示屏,2011-04-27,国电南自,2024-02-12,13,雷阵雨,somewhere,维修班1,0
CPU板件,2013-06-17,南瑞科技,2017-04-02,4,小雨,somewhere,维修班1,直流接地
显示屏,2012-08-30,南瑞继保,2015-03-28,3,雷阵雨,somewhere,维修班1,老化
电源DC220,2011-06-23,许继电气,2021-05-01,11,雷阵雨,somewhere,维修班1,继电器触点故障
电源DC220,2015-06-27,南瑞继保,2017-12-31,3,大雨,somewhere,维修班4,电流互感器二次回路故障
显示屏,2019-07-24,南瑞继保,2033-12-06,15,阴,somewhere,维修班4,0
电源DC220,2012-05-08,南瑞科技,2021-02-24,9,冰雹,somewhere,维修班4,继电器触点故障
CPU板件,2016-11-28,国电南自,2027-07-23,11,雷阵雨,somewhere,维修班4,0
显示屏,2015-09-03,南瑞继保,2027-10-06,13,晴,somewhere,维修班2,0
电源DC220,2018-06-18,国电南自,2022-03-13,4,小雨,somewhere,维修班1,0
显示屏,2014-09-13,南瑞继保,2020-10-24,7,冰雹,somewhere,维修班4,开关设备故障
显示屏,2015-11-28,深圳南瑞,2024-09-12,9,晴,somewhere,维修班3,0
电源DC220,2018-06-04,南瑞科技,2030-05-27,13,大雨,somewhere,维修班3,0
CPU板件,2014-06-20,许继电气,2019-03-30,5,大雨,somewhere,维修班3,继电器触点故障
显示屏,2018-03-03,南瑞科技,2021-09-01,4,阴,somewhere,维修班3,0
电源DC220,2014-07-27,上海惠安,2025-04-05,11,小雨,somewhere,维修班4,0
显示屏,2017-09-14,深圳南瑞,2029-07-15,12,冰雹,somewhere,维修班1,0
电源DC220,2014-06-20,许继电气,2025-03-19,11,晴,somewhere,维修班2,0
电源DC220,2018-11-24,上海惠安,2032-01-07,14,冰雹,somewhere,维修班2,0
电源DC220,2011-05-14,深圳南瑞,2025-01-29,14,小雨,somewhere,维修班3,0
CPU板件,2015-12-23,南瑞科技,2024-08-21,9,小雨,somewhere,维修班1,0
显示屏,2019-09-29,许继电气,2032-07-06,13,大雨,somewhere,维修班4,0
电源DC220,2011-11-12,南瑞科技,2019-08-01,8,大雨,somewhere,维修班1,继电器触点故障
CPU板件,2013-07-20,许继电气,2018-04-22,5,小雨,somewhere,维修班4,保护装置故障
显示屏,2014-06-11,国电南自,2019-09-12,6,晴,somewhere,维修班4,老化
电源DC220,2010-12-05,深圳南瑞,2020-09-19,10,大雨,somewhere,维修班2,老化
显示屏,2020-06-28,上海惠安,2027-02-11,7,冰雹,somewhere,维修班4,0
电源DC220,2016-12-17,深圳南瑞,2026-10-04,10,冰雹,somewhere,维修班3,0
显示屏,2019-11-24,南瑞科技,2025-03-05,6,阴,somewhere,维修班1,0
电源DC220,2010-01-25,南瑞科技,2022-10-01,13,阴,somewhere,维修班3,0
电源DC220,2016-06-14,南瑞科技,2024-04-16,8,晴,somewhere,维修班3,0
显示屏,2017-08-18,南瑞科技,2020-02-24,3,晴,somewhere,维修班4,直流接地
显示屏,2013-05-04,国电南自,2020-03-16,7,冰雹,somewhere,维修班2,保护装置故障
显示屏,2016-04-30,南瑞科技,2026-08-24,11,阴,somewhere,维修班4,0
电源DC220,2016-02-27,许继电气,2024-12-22,9,雷阵雨,somewhere,维修班3,0
显示屏,2015-02-22,上海惠安,2026-10-13,12,阴,somewhere,维修班3,0
显示屏,2010-05-15,国电南自,2017-03-22,7,冰雹,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2017-11-10,许继电气,2027-07-10,10,晴,somewhere,维修班4,0
电源DC220,2011-02-02,南瑞继保,2016-05-25,6,雷阵雨,somewhere,维修班3,保护装置故障
电源DC220,2019-11-12,上海惠安,2033-09-10,14,阴,somewhere,维修班2,0
CPU板件,2010-06-13,上海惠安,2016-03-14,6,小雨,somewhere,维修班1,开关设备故障
电源DC220,2010-09-14,国电南自,2022-05-17,12,晴,somewhere,维修班2,0
显示屏,2018-10-20,南瑞继保,2029-08-15,11,小雨,somewhere,维修班3,0
电源DC220,2017-11-12,南瑞继保,2026-09-28,9,晴,somewhere,维修班3,0
显示屏,2015-02-25,深圳南瑞,2023-08-18,9,冰雹,somewhere,维修班1,0
显示屏,2011-06-24,深圳南瑞,2022-02-27,11,雷阵雨,somewhere,维修班1,0
电源DC220,2014-08-29,深圳南瑞,2018-07-13,4,阴,somewhere,维修班3,电压互感器二次回路故障
CPU板件,2018-03-16,国电南自,2028-11-22,11,雷阵雨,somewhere,维修班1,0
CPU板件,2019-03-02,国电南自,2028-10-08,10,晴,somewhere,维修班1,0
显示屏,2016-08-07,深圳南瑞,2019-05-18,3,小雨,somewhere,维修班3,电流互感器二次回路故障
电源DC220,2019-12-05,国电南自,2033-09-29,14,小雨,somewhere,维修班3,0
CPU板件,2014-12-15,南瑞科技,2024-11-02,10,冰雹,somewhere,维修班1,0
电源DC220,2019-09-01,南瑞继保,2031-07-29,12,晴,somewhere,维修班4,0
电源DC220,2019-01-26,深圳南瑞,2028-12-11,10,阴,somewhere,维修班3,0
CPU板件,2011-12-16,国电南自,2024-10-27,13,冰雹,somewhere,维修班2,0
CPU板件,2015-01-26,南瑞科技,2023-10-19,9,雷阵雨,somewhere,维修班1,0
电源DC220,2016-07-12,许继电气,2024-03-26,8,大雨,somewhere,维修班1,0
电源DC220,2011-05-28,国电南自,2020-03-26,9,小雨,somewhere,维修班3,保护装置故障
显示屏,2012-01-09,上海惠安,2023-08-19,12,小雨,somewhere,维修班1,0
电源DC220,2013-07-18,南瑞科技,2028-03-09,15,冰雹,somewhere,维修班3,0
电源DC220,2016-01-22,许继电气,2026-08-18,11,阴,somewhere,维修班4,0
显示屏,2019-03-16,国电南自,2022-11-04,4,晴,somewhere,维修班2,0
显示屏,2013-09-30,国电南自,2022-07-03,9,雷阵雨,somewhere,维修班3,0
CPU板件,2010-09-15,南瑞科技,2014-06-12,4,阴,somewhere,维修班2,保护装置故障
CPU板件,2013-02-21,深圳南瑞,2018-01-02,5,大雨,somewhere,维修班3,开关设备故障
CPU板件,2020-10-07,上海惠安,2023-07-11,3,冰雹,somewhere,维修班2,0
显示屏,2012-07-05,国电南自,2017-03-19,5,冰雹,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2014-01-18,国电南自,2025-10-15,12,晴,somewhere,维修班3,0
CPU板件,2020-11-19,南瑞继保,2023-09-21,3,冰雹,somewhere,维修班3,0
显示屏,2012-08-23,许继电气,2024-05-18,12,冰雹,somewhere,维修班2,0
显示屏,2019-07-19,深圳南瑞,2026-05-12,7,小雨,somewhere,维修班3,0
显示屏,2019-08-29,深圳南瑞,2022-04-12,3,阴,somewhere,维修班4,0
显示屏,2012-03-21,南瑞科技,2018-09-27,7,雷阵雨,somewhere,维修班4,保护装置故障
CPU板件,2010-11-05,南瑞继保,2022-07-10,12,晴,somewhere,维修班3,0
电源DC220,2011-12-20,深圳南瑞,2026-08-25,15,冰雹,somewhere,维修班1,0
显示屏,2011-02-05,国电南自,2019-07-15,9,大雨,somewhere,维修班2,开关设备故障
电源DC220,2019-07-28,上海惠安,2024-02-18,5,小雨,somewhere,维修班1,0
电源DC220,2016-05-27,南瑞继保,2026-01-11,10,冰雹,somewhere,维修班3,0
CPU板件,2017-11-26,深圳南瑞,2023-08-01,6,冰雹,somewhere,维修班3,0
显示屏,2012-12-11,上海惠安,2022-07-17,10,雷阵雨,somewhere,维修班4,0
显示屏,2016-07-20,国电南自,2021-04-27,5,冰雹,somewhere,维修班1,直流接地
显示屏,2011-11-12,深圳南瑞,2014-06-06,3,阴,somewhere,维修班4,电压互感器二次回路故障
显示屏,2011-02-17,上海惠安,2019-09-24,9,阴,somewhere,维修班4,电压互感器二次回路故障
显示屏,2017-01-21,国电南自,2022-11-16,6,冰雹,somewhere,维修班4,0
CPU板件,2017-03-12,许继电气,2021-01-20,4,小雨,somewhere,维修班1,保护装置故障
电源DC220,2012-06-19,南瑞继保,2024-08-17,13,冰雹,somewhere,维修班3,0
显示屏,2013-01-08,上海惠安,2027-06-25,15,大雨,somewhere,维修班2,0
电源DC220,2014-05-01,南瑞科技,2025-01-09,11,阴,somewhere,维修班3,0
CPU板件,2019-05-16,许继电气,2027-08-13,9,阴,somewhere,维修班3,0
CPU板件,2017-08-24,上海惠安,2022-06-25,6,阴,somewhere,维修班4,0
CPU板件,2016-07-10,国电南自,2029-05-23,13,雷阵雨,somewhere,维修班1,0
电源DC220,2020-11-20,国电南自,2035-10-13,15,小雨,somewhere,维修班1,0
电源DC220,2019-08-27,深圳南瑞,2023-03-03,4,大雨,somewhere,维修班1,0
CPU板件,2010-11-29,南瑞继保,2018-07-29,8,冰雹,somewhere,维修班1,直流接地
显示屏,2011-06-05,上海惠安,2016-03-03,5,大雨,somewhere,维修班4,电流互感器二次回路故障
显示屏,2014-05-06,许继电气,2023-02-20,9,小雨,somewhere,维修班1,0
显示屏,2017-09-06,上海惠安,2024-06-07,7,晴,somewhere,维修班3,0
电源DC220,2013-04-14,上海惠安,2028-02-13,15,阴,somewhere,维修班2,0
显示屏,2016-11-20,南瑞继保,2029-05-26,13,冰雹,somewhere,维修班3,0
电源DC220,2013-07-06,上海惠安,2016-05-01,3,晴,somewhere,维修班3,开关设备故障
CPU板件,2017-10-06,国电南自,2031-05-22,14,冰雹,somewhere,维修班4,0
电源DC220,2016-05-11,深圳南瑞,2028-02-25,12,大雨,somewhere,维修班3,0
显示屏,2020-10-28,国电南自,2033-07-28,13,小雨,somewhere,维修班1,0
CPU板件,2015-08-01,深圳南瑞,2023-05-29,8,冰雹,somewhere,维修班2,0
电源DC220,2014-07-19,南瑞科技,2017-12-10,4,雷阵雨,somewhere,维修班2,直流接地
电源DC220,2010-12-30,许继电气,2018-09-24,8,晴,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2011-05-27,南瑞继保,2019-02-04,8,大雨,somewhere,维修班3,直流接地
CPU板件,2014-02-25,许继电气,2017-11-25,4,阴,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2018-12-16,南瑞科技,2025-09-07,7,大雨,somewhere,维修班3,0
电源DC220,2019-11-01,国电南自,2033-09-18,14,小雨,somewhere,维修班3,0
显示屏,2017-06-18,国电南自,2026-03-27,9,冰雹,somewhere,维修班4,0
CPU板件,2010-11-05,南瑞科技,2018-08-18,8,阴,somewhere,维修班4,电流互感器二次回路故障
CPU板件,2015-04-07,国电南自,2024-01-20,10,雷阵雨,somewhere,维修班1,0
电源DC220,2019-01-04,国电南自,2029-08-30,11,大雨,somewhere,维修班1,0
显示屏,2013-01-08,深圳南瑞,2016-08-18,4,阴,somewhere,维修班2,保护装置故障
显示屏,2017-03-18,许继电气,2028-10-13,12,雷阵雨,somewhere,维修班3,0
显示屏,2015-06-24,上海惠安,2027-05-03,12,阴,somewhere,维修班2,0
显示屏,2020-10-31,上海惠安,2029-07-22,9,雷阵雨,somewhere,维修班4,0
电源DC220,2019-10-19,上海惠安,2032-08-01,13,大雨,somewhere,维修班4,0
CPU板件,2019-04-18,南瑞继保,2033-01-11,14,冰雹,somewhere,维修班3,0
显示屏,2019-06-03,许继电气,2027-03-27,8,冰雹,somewhere,维修班1,0
电源DC220,2010-03-21,南瑞科技,2015-01-16,5,雷阵雨,somewhere,维修班4,老化
CPU板件,2014-07-11,南瑞继保,2027-12-29,14,冰雹,somewhere,维修班2,0
电源DC220,2018-07-13,深圳南瑞,2027-02-14,9,小雨,somewhere,维修班1,0
电源DC220,2011-06-23,国电南自,2022-03-12,11,小雨,somewhere,维修班4,0
电源DC220,2015-02-09,南瑞科技,2021-10-19,7,大雨,somewhere,维修班4,0
CPU板件,2013-10-10,深圳南瑞,2022-01-31,9,雷阵雨,somewhere,维修班1,0
显示屏,2015-03-01,国电南自,2027-12-08,13,阴,somewhere,维修班4,0
电源DC220,2019-07-21,上海惠安,2030-04-27,11,雷阵雨,somewhere,维修班1,0
CPU板件,2020-02-05,许继电气,2023-09-09,4,大雨,somewhere,维修班3,0
电源DC220,2018-06-18,南瑞科技,2030-11-21,13,阴,somewhere,维修班4,0
CPU板件,2013-08-22,许继电气,2025-03-26,12,小雨,somewhere,维修班3,0
CPU板件,2015-05-28,许继电气,2021-03-20,6,小雨,somewhere,维修班3,电压互感器二次回路故障
CPU板件,2015-11-29,南瑞科技,2030-04-28,15,大雨,somewhere,维修班3,0
电源DC220,2011-08-04,许继电气,2022-04-27,11,大雨,somewhere,维修班1,0
显示屏,2013-08-17,上海惠安,2017-06-14,4,冰雹,somewhere,维修班1,电压互感器二次回路故障
显示屏,2015-05-21,许继电气,2021-08-24,7,小雨,somewhere,维修班4,0
显示屏,2019-12-05,南瑞科技,2023-10-23,4,冰雹,somewhere,维修班2,0
显示屏,2011-07-26,南瑞科技,2017-12-26,7,冰雹,somewhere,维修班2,电流互感器二次回路故障
电源DC220,2018-03-25,国电南自,2031-12-13,14,晴,somewhere,维修班1,0
电源DC220,2019-08-16,上海惠安,2025-05-24,6,大雨,somewhere,维修班3,0
电源DC220,2018-02-27,许继电气,2030-11-05,13,雷阵雨,somewhere,维修班4,0
显示屏,2014-02-03,上海惠安,2016-10-14,3,大雨,somewhere,维修班2,开关设备故障
电源DC220,2010-11-25,深圳南瑞,2020-09-18,10,大雨,somewhere,维修班3,老化
显示屏,2019-09-29,南瑞科技,2031-06-27,12,雷阵雨,somewhere,维修班2,0
显示屏,2017-07-12,深圳南瑞,2025-04-12,8,大雨,somewhere,维修班2,0
CPU板件,2011-02-08,南瑞继保,2014-09-08,4,小雨,somewhere,维修班1,继电器触点故障
CPU板件,2017-09-13,上海惠安,2026-06-14,9,冰雹,somewhere,维修班2,0
CPU板件,2014-03-30,上海惠安,2026-02-12,12,小雨,somewhere,维修班4,0
电源DC220,2010-04-24,深圳南瑞,2023-01-26,13,雷阵雨,somewhere,维修班2,0
显示屏,2013-12-02,国电南自,2026-08-22,13,雷阵雨,somewhere,维修班3,0
CPU板件,2015-04-02,南瑞继保,2023-12-18,9,阴,somewhere,维修班1,0
CPU板件,2019-09-15,许继电气,2029-03-05,10,小雨,somewhere,维修班4,0
显示屏,2016-07-24,上海惠安,2027-01-10,11,晴,somewhere,维修班2,0
CPU板件,2014-01-18,上海惠安,2023-09-17,10,阴,somewhere,维修班3,0
显示屏,2018-03-26,南瑞科技,2022-01-10,4,阴,somewhere,维修班2,0
显示屏,2010-06-11,许继电气,2024-12-26,15,阴,somewhere,维修班4,0
CPU板件,2014-05-10,南瑞科技,2020-11-28,7,小雨,somewhere,维修班1,继电器触点故障
电源DC220,2015-07-02,国电南自,2021-04-18,6,冰雹,somewhere,维修班4,开关设备故障
CPU板件,2013-07-05,南瑞继保,2015-07-17,3,晴,somewhere,维修班2,开关设备故障
CPU板件,2018-05-03,南瑞继保,2025-01-01,7,阴,somewhere,维修班2,0
显示屏,2019-01-30,国电南自,2023-12-10,5,阴,somewhere,维修班1,0
显示屏,2018-05-06,上海惠安,2021-02-27,3,大雨,somewhere,维修班1,老化
显示屏,2011-03-31,国电南自,2014-02-04,3,雷阵雨,somewhere,维修班1,保护装置故障
显示屏,2010-11-30,深圳南瑞,2025-09-18,15,雷阵雨,somewhere,维修班4,0
显示屏,2019-07-07,南瑞科技,2022-02-27,3,阴,somewhere,维修班2,0
显示屏,2013-10-05,南瑞科技,2025-11-08,13,阴,somewhere,维修班1,0
电源DC220,2017-05-29,许继电气,2025-03-08,8,冰雹,somewhere,维修班4,0
显示屏,2020-10-18,许继电气,2033-06-15,13,冰雹,somewhere,维修班1,0
电源DC220,2011-08-12,南瑞科技,2022-03-11,11,雷阵雨,somewhere,维修班3,0
CPU板件,2018-10-09,上海惠安,2026-06-05,8,晴,somewhere,维修班2,0
CPU板件,2018-09-08,许继电气,2029-04-11,11,阴,somewhere,维修班2,0
电源DC220,2012-08-12,深圳南瑞,2020-06-01,8,雷阵雨,somewhere,维修班2,继电器触点故障
电源DC220,2013-07-17,深圳南瑞,2017-04-09,4,小雨,somewhere,维修班3,老化
显示屏,2018-04-23,深圳南瑞,2025-10-10,8,雷阵雨,somewhere,维修班4,0
CPU板件,2018-05-13,南瑞科技,2022-03-10,4,阴,somewhere,维修班1,0
电源DC220,2017-12-02,许继电气,2029-08-27,12,雷阵雨,somewhere,维修班1,0
显示屏,2013-10-06,南瑞继保,2026-07-04,13,阴,somewhere,维修班2,0
显示屏,2013-06-11,国电南自,2027-03-15,14,雷阵雨,somewhere,维修班1,0
显示屏,2014-02-08,国电南自,2024-11-16,11,雷阵雨,somewhere,维修班2,0
显示屏,2010-05-25,深圳南瑞,2016-01-27,6,晴,somewhere,维修班3,继电器触点故障
显示屏,2014-05-07,国电南自,2026-07-22,13,雷阵雨,somewhere,维修班3,0
电源DC220,2012-04-15,上海惠安,2026-01-09,14,阴,somewhere,维修班4,0
CPU板件,2019-03-27,国电南自,2032-02-02,13,大雨,somewhere,维修班4,0
电源DC220,2011-02-06,南瑞继保,2024-11-16,14,大雨,somewhere,维修班1,0
CPU板件,2014-01-13,上海惠安,2026-10-01,13,大雨,somewhere,维修班4,0
CPU板件,2012-12-17,许继电气,2015-10-07,3,小雨,somewhere,维修班2,电流互感器二次回路故障
显示屏,2012-07-14,许继电气,2026-01-29,14,冰雹,somewhere,维修班2,0
电源DC220,2012-10-28,南瑞科技,2019-07-10,7,小雨,somewhere,维修班2,直流接地
电源DC220,2010-08-04,南瑞继保,2016-01-09,6,冰雹,somewhere,维修班4,电流互感器二次回路故障
CPU板件,2017-09-29,深圳南瑞,2024-06-03,7,大雨,somewhere,维修班2,0
显示屏,2013-05-02,南瑞科技,2025-01-17,12,小雨,somewhere,维修班1,0
CPU板件,2020-06-28,深圳南瑞,2028-04-22,8,小雨,somewhere,维修班1,0
显示屏,2017-02-07,国电南自,2025-06-16,9,雷阵雨,somewhere,维修班2,0
CPU板件,2014-08-09,上海惠安,2026-05-06,12,雷阵雨,somewhere,维修班2,0
CPU板件,2019-04-14,深圳南瑞,2022-01-26,3,雷阵雨,somewhere,维修班3,0
CPU板件,2018-08-15,南瑞继保,2026-09-05,9,雷阵雨,somewhere,维修班2,0
显示屏,2011-07-02,上海惠安,2024-01-24,13,晴,somewhere,维修班3,0
CPU板件,2017-11-15,许继电气,2026-09-27,9,大雨,somewhere,维修班2,0
显示屏,2019-09-03,许继电气,2032-06-22,13,冰雹,somewhere,维修班1,0
电源DC220,2014-09-24,南瑞继保,2022-05-21,8,小雨,somewhere,维修班3,0
CPU板件,2017-02-07,许继电气,2025-10-20,9,阴,somewhere,维修班1,0
电源DC220,2011-03-05,南瑞科技,2024-11-18,14,大雨,somewhere,维修班1,0
电源DC220,2017-05-20,深圳南瑞,2028-02-13,11,雷阵雨,somewhere,维修班2,0
电源DC220,2020-06-29,深圳南瑞,2031-01-16,11,阴,somewhere,维修班1,0
电源DC220,2018-01-18,上海惠安,2027-09-10,10,大雨,somewhere,维修班4,0
CPU板件,2010-05-24,南瑞继保,2024-03-06,14,冰雹,somewhere,维修班2,0
CPU板件,2011-03-23,上海惠安,2015-11-25,5,雷阵雨,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2017-05-03,南瑞科技,2024-01-07,7,晴,somewhere,维修班1,0
电源DC220,2017-05-18,南瑞继保,2029-08-14,13,阴,somewhere,维修班4,0
电源DC220,2013-11-04,许继电气,2028-06-02,15,雷阵雨,somewhere,维修班4,0
